"","Species","cell_type1","Source","age","batch"
"G12_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G12_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G2_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G2_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G3_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G3_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G4_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G4_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G5_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G5_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G5_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G6_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G7_hOrg41d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G7_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G8_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G8_hOrg65d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"G9_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"G9_hOrg41d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"G9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H1_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H10_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H10_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H11_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H11_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H12_hOrg37d","Homo sapiens","neuron","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H12_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H2_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H3_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H3_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H3_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H4_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H4_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H4_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H6_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H7_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H7_hOrg65d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"H8_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"H8_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"H9_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
